,player_name,breaking_strikes,non-breaking_strikes,total_strikes,total_pitches,breaking_to_total_strike%,strike_to_pitch%,release_speed
0,"Gallen, Zac",243.0,768.0,1011.0,3795,24.03560830860534,26.640316205533598,89.53581027667985
1,"Wheeler, Zack",223.0,759.0,982.0,3557,22.70875763747454,27.607534439134103,91.8890075906663
2,"Nola, Aaron",330.0,670.0,1000.0,3431,33.0,29.146021568055964,87.03605362867968
3,"Montgomery, Jordan",209.0,666.0,875.0,3380,23.885714285714286,25.88757396449704,88.04647928994082
4,"Strider, Spencer",425.0,657.0,1082.0,3290,39.27911275415896,32.88753799392097,92.62601823708206
5,"Cole, Gerrit",294.0,606.0,900.0,3281,32.666666666666664,27.430661383724477,92.61688509600731
6,"Cease, Dylan",499.0,406.0,905.0,3262,55.13812154696133,27.74371551195586,89.00318822808094
7,"López, Pablo",296.0,636.0,932.0,3222,31.759656652360512,28.92613283674736,89.80456238361266
8,"Lynn, Lance",88.0,757.0,845.0,3215,10.414201183431953,26.283048211508554,89.4710730948678
9,"Castillo, Luis",251.0,670.0,921.0,3207,27.25298588490771,28.718428437792333,92.61178671655753
10,"Mikolas, Miles",351.0,441.0,792.0,3197,44.31818181818182,24.773224898342196,87.49903034094464
11,"Giolito, Lucas",253.0,642.0,895.0,3190,28.268156424581004,28.056426332288403,86.84811912225706
12,"Valdez, Framber",196.0,639.0,835.0,3190,23.47305389221557,26.17554858934169,89.48171267252197
13,"Webb, Logan",207.0,719.0,926.0,3182,22.354211663066955,29.101194217473285,88.59921433060968
14,"Burnes, Corbin",243.0,652.0,895.0,3171,27.150837988826815,28.2245348470514,90.69826553137811
15,"Snell, Blake",240.0,640.0,880.0,3168,27.27272727272727,27.77777777777778,90.07872474747475
16,"Kelly, Merrill",154.0,703.0,857.0,3160,17.96966161026838,27.120253164556964,89.79718354430379
17,"Gausman, Kevin",109.0,493.0,602.0,3142,18.106312292358805,19.159770846594526,90.27246976448122
18,"Bassitt, Chris",236.0,624.0,860.0,3139,27.44186046511628,27.397260273972602,85.60481044918764
19,"Keller, Mitch",185.0,684.0,869.0,3119,21.288837744533947,27.861494068611737,90.05036870791919
20,"Luzardo, Jesús",321.0,576.0,897.0,3078,35.785953177257525,29.142300194931774,91.55627030539311
21,"Javier, Cristian",325.0,446.0,771.0,3077,42.153047989623865,25.056873578160545,87.24618134546637
22,"Gibson, Kyle",265.0,550.0,815.0,3070,32.515337423312886,26.547231270358306,87.55358306188926
23,"Gray, Sonny",288.0,496.0,784.0,2986,36.734693877551024,26.25586068318821,87.89082384460818
24,"Berríos, José",257.0,606.0,863.0,2984,29.779837775202783,28.920911528150135,88.79493967828418
25,"Oviedo, Johan",452.0,312.0,764.0,2980,59.16230366492147,25.63758389261745,90.46395973154361
26,"Kremer, Dean",85.0,687.0,772.0,2978,11.010362694300518,25.92343854936199,89.84533243787777
27,"Peralta, Freddy",317.0,526.0,843.0,2924,37.60379596678529,28.830369357045143,88.82527359781122
28,"Corbin, Patrick",273.0,422.0,695.0,2922,39.280575539568346,23.78507871321013,87.26933607118411
29,"Gilbert, Logan",377.0,291.0,668.0,2922,56.43712574850299,22.861054072553046,90.03757700205338
30,"Elder, Bryce",321.0,427.0,748.0,2905,42.9144385026738,25.7487091222031,86.66068846815834
31,"Verlander, Justin",370.0,353.0,723.0,2878,51.17565698478561,25.121612230715773,88.81834607366227
32,"Sears, JP",301.0,435.0,736.0,2867,40.89673913043478,25.671433554237876,87.69215207534008
33,"Morton, Charlie",423.0,430.0,853.0,2842,49.58968347010551,30.014074595355382,88.04183673469387
34,"Kikuchi, Yusei",373.0,395.0,768.0,2839,48.56770833333333,27.051778795350472,90.4901725959845
35,"Walker, Taijuan",72.0,462.0,534.0,2837,13.48314606741573,18.822700035248502,88.80225590412408
36,"Brown, Hunter",290.0,422.0,712.0,2831,40.73033707865169,25.150123631225714,91.26072059342988
37,"Dunning, Dane",213.0,539.0,752.0,2828,28.324468085106385,26.591230551626595,87.03681046676097
38,"Kirby, George",281.0,443.0,724.0,2825,38.812154696132595,25.628318584070797,91.60272566371683
39,"Lyles, Jordan",227.0,432.0,659.0,2817,34.44613050075873,23.39368122115726,85.86773162939296
40,"Gray, Josiah",381.0,338.0,719.0,2812,52.99026425591099,25.568990042674255,88.16486486486487
41,"Senga, Kodai",283.0,448.0,731.0,2795,38.7140902872777,26.153846153846157,89.38350626118068
42,"Eovaldi, Nathan",139.0,395.0,534.0,2793,26.02996254681648,19.11922663802363,89.3047619047619
43,"Heaney, Andrew",187.0,521.0,708.0,2771,26.412429378531073,25.55034283652111,88.4041501263082
44,"Bradish, Kyle",370.0,396.0,766.0,2723,48.30287206266319,28.130738156445094,90.60525156077856
45,"Alcantara, Sandy",204.0,531.0,735.0,2721,27.755102040816325,27.012127894156563,94.1143697170158
46,"Schmidt, Clarke",407.0,353.0,760.0,2712,53.55263157894738,28.023598820058996,88.89450589970501
47,"Ryan, Joe",112.0,479.0,591.0,2709,18.95093062605753,21.816168327796234,88.12532299741602
48,"Flaherty, Jack",326.0,403.0,729.0,2680,44.718792866941016,27.20149253731343,86.93619402985074
49,"Steele, Justin",234.0,441.0,675.0,2678,34.66666666666667,25.205377147124718,88.77953696788649
